"cbsa23","state","stab","CBSAName23","pop20","afact"
"23700","35","NM","Gallup, NM",72902,1 
"23780","20","KS","Garden City, KS",38470,1 
"23820","06","CA","Gardnerville Ranchos, NV-CA",1204,0.0238 
"23820","32","NV","Gardnerville Ranchos, NV-CA",49488,0.9762 
"23900","42","PA","Gettysburg, PA",103852,1 
"23940","56","WY","Gillette, WY",47026,1 
"23980","21","KY","Glasgow, KY",54771,1 
"24020","36","NY","Glens Falls, NY",127039,1 
"24100","36","NY","Gloversville, NY",53324,1 
"24140","37","NC","Goldsboro, NC",117333,1 
"24180","48","TX","Granbury, TX",61598,1 
"24220","27","MN","Grand Forks, ND-MN",31192,0.2989 
"24220","38","ND","Grand Forks, ND-MN",73170,0.7011 
"24260","31","NE","Grand Island, NE",77038,1 
"24300","08","CO","Grand Junction, CO",155703,1 
"24330","27","MN","Grand Rapids, MN",45014,1 
"24340","26","MI","Grand Rapids-Wyoming-Kentwood, MI",1150015,1 
"24420","41","OR","Grants Pass, OR",88090,1 
"24460","20","KS","Great Bend, KS",25493,1 
"24500","30","MT","Great Falls, MT",84414,1 
"24540","08","CO","Greeley, CO",328981,1 
"24580","55","WI","Green Bay, WI",328268,1 
"24600","18","IN","Greencastle, IN",36726,1 
"24620","47","TN","Greeneville, TN",70152,1 
"24640","25","MA","Greenfield, MA",71029,1 
"24660","37","NC","Greensboro-High Point, NC",776566,1 
"24700","18","IN","Greensburg, IN",26472,1 
"24740","28","MS","Greenville, MS",44922,1 
"24780","37","NC","Greenville, NC",170243,1 
"24820","39","OH","Greenville, OH",51881,1 
"24860","45","SC","Greenville-Anderson-Greer, SC",928195,1 
"24900","28","MS","Greenwood, MS",38337,1 
"24940","45","SC","Greenwood, SC",93646,1 
"24980","28","MS","Grenada, MS",31451,1 
"25020","72","PR","Guayama, PR",68442,1 
"25060","28","MS","Gulfport-Biloxi, MS",416259,1 
"25100","40","OK","Guymon, OK",21384,1 
"25180","24","MD","Hagerstown-Martinsburg, MD-WV",154705,0.5265 
"25180","54","WV","Hagerstown-Martinsburg, MD-WV",139139,0.4735 
"25200","16","ID","Hailey, ID",30476,1 
"25220","22","LA","Hammond, LA",133157,1 
"25260","06","CA","Hanford-Corcoran, CA",152486,1 
"25300","29","MO","Hannibal, MO",38880,1 
"25420","42","PA","Harrisburg-Carlisle, PA",591712,1 
"25460","05","AR","Harrison, AR",44598,1 
"25500","51","VA","Harrisonburg, VA",135571,1 
"25580","31","NE","Hastings, NE",40704,1 
"25620","28","MS","Hattiesburg, MS",153891,1 
"25700","20","KS","Hays, KS",28934,1 
"25720","49","UT","Heber, UT",77145,1 
"25740","30","MT","Helena, MT",89832,1 
"25770","42","PA","Hemlock Farms, PA",58535,1 
"25775","21","KY","Henderson, KY",57810,1 
"25780","37","NC","Henderson, NC",42578,1 
"25820","48","TX","Hereford, TX",18583,1 
"25840","41","OR","Hermiston-Pendleton, OR",92261,1 
"25850","42","PA","Hermitage, PA",110652,1 
"25860","37","NC","Hickory-Lenoir-Morganton, NC",365276,1 
"25880","26","MI","Hillsdale, MI",45746,1 
"25900","15","HI","Hilo-Kailua, HI",200629,1 
"25940","45","SC","Hilton Head Island-Bluffton-Port Royal, SC",215908,1 
"25980","13","GA","Hinesville, GA",81424,1 
"26020","35","NM","Hobbs, NM",74455,1 
"26090","26","MI","Holland, MI",120502,1 
"26140","12","FL","Homosassa Springs, FL",153843,1 
"26220","41","OR","Hood River, OR",23977,1 
"26300","05","AR","Hot Springs, AR",100180,1 
"26340","26","MI","Houghton, MI",39407,1 
"26380","22","LA","Houma-Bayou Cane-Thibodaux, LA",207137,1 
"26420","48","TX","Houston-Pasadena-The Woodlands, TX",7149642,1 
"26460","36","NY","Hudson, NY",61570,1 
"26500","42","PA","Huntingdon, PA",44092,1 
"26540","18","IN","Huntington, IN",36662,1 
"26580","21","KY","Huntington-Ashland, WV-KY-OH",127143,0.338 
"26580","39","OH","Huntington-Ashland, WV-KY-OH",58240,0.1548 
"26580","54","WV","Huntington-Ashland, WV-KY-OH",190772,0.5072 
"26620","01","AL","Huntsville, AL",491723,1 
"26660","48","TX","Huntsville, TX",76400,1 
"26700","46","SD","Huron, SD",19149,1 
"26740","20","KS","Hutchinson, KS",61898,1 
"26780","27","MN","Hutchinson, MN",36771,1 
"26820","16","ID","Idaho Falls, ID",157429,1 
"26860","42","PA","Indiana, PA",83246,1 
"26900","18","IN","Indianapolis-Carmel-Greenwood, IN",2089673,1 
"26980","19","IA","Iowa City, IA",175419,1 
"27020","26","MI","Iron Mountain, MI-WI",25947,0.8506 
"27020","55","WI","Iron Mountain, MI-WI",4558,0.1494 
"27060","36","NY","Ithaca, NY",105740,1 
"27100","26","MI","Jackson, MI",160366,1 
"27140","28","MS","Jackson, MS",619968,1 
"27180","47","TN","Jackson, TN",180504,1 
"27220","16","ID","Jackson, WY-ID",11630,0.3327 
"27220","56","WY","Jackson, WY-ID",23331,0.6673 
"27260","12","FL","Jacksonville, FL",1605848,1 
"27300","17","IL","Jacksonville, IL",37864,1 
"27340","37","NC","Jacksonville, NC",204576,1 
"27380","48","TX","Jacksonville, TX",50412,1 
"27420","38","ND","Jamestown, ND",21593,1 
"27460","36","NY","Jamestown-Dunkirk, NY",127657,1 
"27500","55","WI","Janesville-Beloit, WI",163687,1 
"27540","18","IN","Jasper, IN",43637,1 
"27600","13","GA","Jefferson, GA",75907,1 
"27620","29","MO","Jefferson City, MO",150309,1 
"27700","13","GA","Jesup, GA",30144,1 
"27740","47","TN","Johnson City, TN",207285,1 
"27780","42","PA","Johnstown, PA",133472,1 
"27860","05","AR","Jonesboro, AR",134196,1 
"27900","20","KS","Joplin, MO-KS",19362,0.0964 
"27900","29","MO","Joplin, MO-KS",181409,0.9036 
"27940","02","AK","Juneau, AK",32255,1 
"27980","15","HI","Kahului-Wailuku, HI",164836,1 
"28020","26","MI","Kalamazoo-Portage, MI",261670,1 
"28060","30","MT","Kalispell, MT",104357,1 
"28100","17","IL","Kankakee, IL",107502,1 
"28140","20","KS","Kansas City, MO-KS",904771,0.4128 
"28140","29","MO","Kansas City, MO-KS",1287264,0.5872 
"28180","15","HI","Kapaa, HI",73298,1 
"28260","31","NE","Kearney, NE",56772,1 
"28300","33","NH","Keene, NH",76458,1 
"28340","18","IN","Kendallville, IN",47457,1 
"28380","29","MO","Kennett, MO",28283,1 
"28420","53","WA","Kennewick-Richland, WA",303622,1 
"28450","55","WI","Kenosha, WI",169151,1 
"28500","48","TX","Kerrville, TX",52598,1 
"28540","02","AK","Ketchikan, AK",13948,1 
"28580","12","FL","Key West-Key Largo, FL",82874,1 
"28620","37","NC","Kill Devil Hills, NC",36915,1 
"28660","48","TX","Killeen-Temple, TX",475367,1 
"28680","13","GA","Kingsland, GA",54768,1 
"28700","47","TN","Kingsport-Bristol, TN-VA",214884,0.6986 
"28700","51","VA","Kingsport-Bristol, TN-VA",92730,0.3014 
"28740","36","NY","Kingston, NY",181851,1 
"28780","48","TX","Kingsville, TX",31040,1 
"28820","37","NC","Kinston, NC",55122,1 
"28860","29","MO","Kirksville, MO",29346,1 
"28880","36","NY","Kiryas Joel-Poughkeepsie-Newburgh, NY",697221,1 
"28900","41","OR","Klamath Falls, OR",69413,1 
"28940","47","TN","Knoxville, TN",903300,1 
"29020","18","IN","Kokomo, IN",83658,1 
"29060","33","NH","Laconia, NH",63705,1 
"29100","27","MN","La Crosse-Onalaska, WI-MN",18843,0.1106 
"29100","55","WI","La Crosse-Onalaska, WI-MN",151498,0.8894 
"29180","22","LA","Lafayette, LA",408455,1 
"29200","18","IN","Lafayette-West Lafayette, IN",223716,1 
"29260","41","OR","La Grande, OR",26196,1 
"29300","01","AL","LaGrange, GA-AL",34772,0.3337 
"29300","13","GA","LaGrange, GA-AL",69426,0.6663 
"29340","22","LA","Lake Charles, LA",254652,1 
"29380","12","FL","Lake City, FL",69698,1 
"29420","04","AZ","Lake Havasu City-Kingman, AZ",213267,1 
"29460","12","FL","Lakeland-Winter Haven, FL",725046,1 
"29470","51","VA","Lake of the Woods, VA",36254,1 
"29540","42","PA","Lancaster, PA",552984,1 
"29620","26","MI","Lansing-East Lansing, MI",473203,1 
"29660","56","WY","Laramie, WY",37066,1 
"29700","48","TX","Laredo, TX",267114,1 
"29720","72","PR","Lares, PR",28105,1 
"29740","35","NM","Las Cruces, NM",219561,1 
"29780","35","NM","Las Vegas, NM",31390,1 
"29820","32","NV","Las Vegas-Henderson-North Las Vegas, NV",2265461,1 
"29860","28","MS","Laurel, MS",83613,1 
"29900","37","NC","Laurinburg, NC",34174,1 
"29940","20","KS","Lawrence, KS",118785,1 
"29980","47","TN","Lawrenceburg, TN",44159,1 
"30020","40","OK","Lawton, OK",126652,1 
"30060","29","MO","Lebanon, MO",36039,1 
"30140","42","PA","Lebanon, PA",143257,1 
"30150","33","NH","Lebanon-Claremont, NH-VT",134181,0.6066 
"30150","50","VT","Lebanon-Claremont, NH-VT",87030,0.3934 
"30180","19","IA","Le Mars, IA",25698,1 
"30260","42","PA","Lewisburg, PA",42681,1 
"30280","47","TN","Lewisburg, TN",34318,1 
"30300","16","ID","Lewiston, ID-WA",42090,0.6538 
"30300","53","WA","Lewiston, ID-WA",22285,0.3462 
"30340","23","ME","Lewiston-Auburn, ME",111139,1 
"30380","42","PA","Lewistown, PA",46143,1 
"30420","31","NE","Lexington, NE",26004,1 
"30460","21","KY","Lexington-Fayette, KY",516811,1 
"30500","24","MD","Lexington Park, MD",206560,1 
"30580","20","KS","Liberal, KS",21964,1 
"30620","39","OH","Lima, OH",102206,1 
"30660","17","IL","Lincoln, IL",27987,1 
"30700","31","NE","Lincoln, NE",340217,1 
"30780","05","AR","Little Rock-North Little Rock-Conway, AR",748031,1 
"30820","42","PA","Lock Haven, PA",37450,1 
"30860","16","ID","Logan, UT-ID",14194,0.0963 
"30860","49","UT","Logan, UT-ID",133154,0.9037 
"30900","18","IN","Logansport, IN",37870,1 
"30980","48","TX","Longview, TX",286184,1 
"31020","53","WA","Longview-Kelso, WA",110730,1 
"31060","35","NM","Los Alamos, NM",19419,1 
"31080","06","CA","Los Angeles-Long Beach-Anaheim, CA",13200998,1 
"31140","18","IN","Louisville/Jefferson County, KY-IN",269413,0.1978 
"31140","21","KY","Louisville/Jefferson County, KY-IN",1092767,0.8022 
"31180","48","TX","Lubbock, TX",351268,1 
"31220","26","MI","Ludington, MI",29052,1 
"31260","48","TX","Lufkin, TX",86395,1 
"31300","37","NC","Lumberton, NC",116530,1 
"31340","51","VA","Lynchburg, VA",261593,1 
"31380","17","IL","Macomb, IL",27238,1 
"31420","13","GA","Macon-Bibb County, GA",233802,1 
"31500","18","IN","Madison, IN",33147,1 
"31540","55","WI","Madison, WI",680796,1 
"31580","21","KY","Madisonville, KY",45423,1 
"31620","05","AR","Magnolia, AR",22801,1 
"31680","05","AR","Malvern, AR",33040,1 
"31700","33","NH","Manchester-Nashua, NH",422937,1 
"31740","20","KS","Manhattan, KS",134046,1 
"31820","55","WI","Manitowoc, WI",81359,1 
"31860","27","MN","Mankato, MN",103566,1 
"31900","39","OH","Mansfield, OH",124936,1 
"31930","39","OH","Marietta, OH",59771,1 
"31940","26","MI","Marinette, WI-MI",23502,0.3595 
"31940","55","WI","Marinette, WI-MI",41872,0.6405 
"31980","18","IN","Marion, IN",66674,1 
"32000","37","NC","Marion, NC",44578,1 
"32020","39","OH","Marion, OH",65359,1 
"32060","17","IL","Marion-Herrin, IL",67153,1 
"32100","26","MI","Marquette, MI",66017,1 
"32140","27","MN","Marshall, MN",25269,1 
"32180","29","MO","Marshall, MO",23333,1 
"32260","19","IA","Marshalltown, IA",40105,1 
"32280","47","TN","Martin, TN",32902,1 
"32300","51","VA","Martinsville, VA",64433,1 
"32340","29","MO","Maryville, MO",21241,1 
"32380","19","IA","Mason City, IA",50570,1 
"32390","36","NY","Massena-Ogdensburg, NY",108505,1 
"32420","72","PR","Mayag�ez, PR",213831,1 
"32460","21","KY","Mayfield, KY",36649,1 
"32540","40","OK","McAlester, OK",43773,1 
"32580","48","TX","McAllen-Edinburg-Mission, TX",870781,1 
"32620","28","MS","McComb, MS",54208,1 
"32660","47","TN","McMinnville, TN",40953,1 
"32700","20","KS","McPherson, KS",30223,1 
"32740","42","PA","Meadville, PA",83938,1 
"32780","41","OR","Medford, OR",223259,1 
"32820","05","AR","Memphis, TN-MS-AR",48163,0.0358 
"32820","28","MS","Memphis, TN-MS-AR",264558,0.1966 
"32820","47","TN","Memphis, TN-MS-AR",1032704,0.7676 
"32860","55","WI","Menomonie, WI",45440,1 
"32900","06","CA","Merced, CA",281202,1 
"32940","28","MS","Meridian, MS",88599,1 
"33020","29","MO","Mexico, MO",24962,1 
"33060","40","OK","Miami, OK",30285,1 
"33100","12","FL","Miami-Fort Lauderdale-West Palm Beach, FL",6138333,1 
"33140","18","IN","Michigan City-La Porte, IN",112417,1 
"33180","21","KY","Middlesborough, KY",24097,1 
"33220","26","MI","Midland, MI",83494,1 
"33260","48","TX","Midland, TX",175220,1 
"33300","13","GA","Milledgeville, GA",43799,1 
"33340","55","WI","Milwaukee-Waukesha, WI",1574731,1 
"33380","22","LA","Minden, LA",36967,1 
"33420","48","TX","Mineral Wells, TX",28409,1 
"33460","27","MN","Minneapolis-St. Paul-Bloomington, MN-WI",3554513,0.9632 
"33460","55","WI","Minneapolis-St. Paul-Bloomington, MN-WI",135748,0.0368 
"33500","38","ND","Minot, ND",77546,1 
"33540","30","MT","Missoula, MT",122457,1 
"33580","46","SD","Mitchell, SD",25747,1 
"33620","29","MO","Moberly, MO",24716,1 
"33660","01","AL","Mobile, AL",414809,1 
"33700","06","CA","Modesto, CA",552878,1 
"33740","22","LA","Monroe, LA",227147,1 
"33780","26","MI","Monroe, MI",154809,1 
"33860","01","AL","Montgomery, AL",386047,1 
"33900","18","IN","Monticello, IN",24688,1 
"33910","36","NY","Monticello, NY",78624,1 
"33940","08","CO","Montrose, CO",42679,1 
"33980","37","NC","Morehead City, NC",67686,1 
"34020","22","LA","Morgan City, LA",49406,1 
"34060","54","WV","Morgantown, WV",140038,1 
"34100","47","TN","Morristown, TN",119182,1 
"34140","16","ID","Moscow, ID",39517,1 
"34180","53","WA","Moses Lake, WA",99123,1 
"34220","13","GA","Moultrie, GA",45898,1 
"34260","05","AR","Mountain Home, AR",41627,1 
"34300","16","ID","Mountain Home, ID",28666,1 
"34340","37","NC","Mount Airy, NC",71359,1 
"34380","26","MI","Mount Pleasant, MI",64394,1 
"34420","48","TX","Mount Pleasant, TX",55684,1 
"34460","21","KY","Mount Sterling, KY",46977,1 
"34500","17","IL","Mount Vernon, IL",37113,1 
"34540","39","OH","Mount Vernon, OH",62721,1 
"34580","53","WA","Mount Vernon-Anacortes, WA",129523,1 
"34620","18","IN","Muncie, IN",111903,1 
"34660","21","KY","Murray, KY",37103,1 
"34680","45","SC","Murrells Inlet, SC",63404,1 
"34700","19","IA","Muscatine, IA",43235,1 
"34740","26","MI","Muskegon-Norton Shores, MI",175824,1 
"34780","40","OK","Muskogee, OK",66339,1 
"34820","45","SC","Myrtle Beach-Conway-North Myrtle Beach, SC",351029,1 
"34860","48","TX","Nacogdoches, TX",64653,1 
"34880","25","MA","Nantucket, MA",14255,1 
"34900","06","CA","Napa, CA",138019,1 
"34940","12","FL","Naples-Marco Island, FL",375752,1 
"34980","47","TN","Nashville-Davidson--Murfreesboro--Franklin, TN",2014444,1 
"35020","22","LA","Natchez, MS-LA",18687,0.3368 
"35020","28","MS","Natchez, MS-LA",36798,0.6632 
"35060","22","LA","Natchitoches, LA",37515,1 
"35100","37","NC","New Bern, NC",122168,1 
"35140","45","SC","Newberry, SC",37719,1 
"35220","18","IN","New Castle, IN",48914,1 
"35340","22","LA","New Iberia, LA",69929,1 
"35380","22","LA","New Orleans-Metairie, LA",1007275,1 
"35420","39","OH","New Philadelphia-Dover, OH",93263,1 
"35440","41","OR","Newport, OR",50395,1 
"35460","47","TN","Newport, TN",35999,1 
"35580","27","MN","New Ulm, MN",25912,1 
"35620","34","NJ","New York-Newark-Jersey City, NY-NJ",6915597,0.3444 
"35620","36","NY","New York-Newark-Jersey City, NY-NJ",13166338,0.6556 
"35660","26","MI","Niles, MI",154316,1 
"35700","04","AZ","Nogales, AZ",47669,1 
"35740","31","NE","Norfolk, NE",48744,1 
"35820","31","NE","North Platte, NE",35392,1 
"35840","12","FL","North Port-Bradenton-Sarasota, FL",833716,1 
"35900","37","NC","North Wilkesboro, NC",65969,1 
"35940","39","OH","Norwalk, OH",58565,1 
"36020","53","WA","Oak Harbor, WA",86857,1 
"36100","12","FL","Ocala, FL",375908,1 
"36180","24","MD","Ocean Pines, MD",52460,1 
"36220","48","TX","Odessa, TX",165171,1 
"36260","49","UT","Ogden, UT",637197,1 
"36340","42","PA","Oil City, PA",50454,1 
"36380","12","FL","Okeechobee, FL",39644,1 
"36420","40","OK","Oklahoma City, OK",1425695,1 
"36460","36","NY","Olean, NY",77042,1 
"36500","53","WA","Olympia-Lacey-Tumwater, WA",294793,1 
"36540","19","IA","Omaha, NE-IA",122733,0.1268 
"36540","31","NE","Omaha, NE-IA",844871,0.8732 
"36580","36","NY","Oneonta, NY",58524,1 
"36620","16","ID","Ontario, OR-ID",25386,0.4457 
"36620","41","OR","Ontario, OR-ID",31571,0.5543 
"36660","22","LA","Opelousas, LA",82540,1 
"36700","45","SC","Orangeburg, SC",84223,1 
"36740","12","FL","Orlando-Kissimmee-Sanford, FL",2673376,1 
"36780","55","WI","Oshkosh-Neenah, WI",171730,1 
"36820","19","IA","Oskaloosa, IA",22190,1 
"36830","53","WA","Othello, WA",20613,1 
"36837","17","IL","Ottawa, IL",148539,1 
"36840","20","KS","Ottawa, KS",25996,1 
"36900","19","IA","Ottumwa, IA",35437,1 
"36940","27","MN","Owatonna, MN",37406,1 
"36980","21","KY","Owensboro, KY",112464,1 
"37020","26","MI","Owosso, MI",68094,1 
"37060","28","MS","Oxford, MS",68294,1 
"37100","06","CA","Oxnard-Thousand Oaks-Ventura, CA",843843,1 
"37120","01","AL","Ozark, AL",49326,1 
"37140","17","IL","Paducah, KY-IL",14169,0.1369 
"37140","21","KY","Paducah, KY-IL",89317,0.8631 
"37220","32","NV","Pahrump, NV",51591,1 
"37260","12","FL","Palatka, FL",73321,1 
"37300","48","TX","Palestine, TX",57922,1 
"37340","12","FL","Palm Bay-Melbourne-Titusville, FL",606612,1 
"37420","48","TX","Pampa, TX",22054,1 
"37460","12","FL","Panama City-Panama City Beach, FL",200534,1 
"37500","05","AR","Paragould, AR",45736,1 
"37540","47","TN","Paris, TN",32199,1 
"37580","48","TX","Paris, TX",61675,1 
"37620","54","WV","Parkersburg-Vienna, WV",89490,1 
"37740","04","AZ","Payson, AZ",53272,1 
"37800","19","IA","Pella, IA",33414,1 
"37860","12","FL","Pensacola-Ferry Pass-Brent, FL",509905,1 
"37900","17","IL","Peoria, IL",368782,1 
"37940","18","IN","Peru, IN",35962,1 
"37950","26","MI","Petoskey, MI",34112,1 
"37980","10","DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",570719,0.0914 
"37980","24","MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",103725,0.0166 
"37980","34","NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1352476,0.2166 
"37980","42","PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4218131,0.6754 
"38060","04","AZ","Phoenix-Mesa-Chandler, AZ",4845832,1 
"38100","28","MS","Picayune, MS",56145,1 
"38180","46","SD","Pierre, SD",20745,1 
"38210","21","KY","Pikeville, KY",94611,1 
"38220","05","AR","Pine Bluff, AR",74810,1 
"38240","37","NC","Pinehurst-Southern Pines, NC",99727,1 
"38260","20","KS","Pittsburg, KS",38972,1 
"38300","42","PA","Pittsburgh, PA",2457000,1 
"38340","25","MA","Pittsfield, MA",129026,1 
"38380","48","TX","Plainview, TX",37924,1 
"38420","55","WI","Platteville, WI",51938,1 
"38460","36","NY","Plattsburgh, NY",79843,1 
"38500","18","IN","Plymouth, IN",46095,1 
"38540","16","ID","Pocatello, ID",87018,1 
"38620","40","OK","Ponca City, OK",43700,1 
"38660","72","PR","Ponce, PR",278477,1 
"38700","17","IL","Pontiac, IL",35815,1 
"38740","29","MO","Poplar Bluff, MO",42130,1 
"38820","53","WA","Port Angeles, WA",77155,1 
"38860","23","ME","Portland-South Portland, ME",551740,1 
"38900","41","OR","Portland-Vancouver-Hillsboro, OR-WA",1997512,0.7949 
"38900","53","WA","Portland-Vancouver-Hillsboro, OR-WA",515347,0.2051 
"38920","48","TX","Port Lavaca, TX",20106,1 
"38940","12","FL","Port St. Lucie, FL",487657,1 
"39020","39","OH","Portsmouth, OH",74008,1 
"39040","53","WA","Port Townsend, WA",32977,1 
"39060","42","PA","Pottsville, PA",143049,1 
"39150","04","AZ","Prescott Valley-Prescott, AZ",236209,1 
"39220","49","UT","Price, UT",20412,1 
"39300","25","MA","Providence-Warwick, RI-MA",579200,0.3455 
"39300","44","RI","Providence-Warwick, RI-MA",1097379,0.6545 
"39340","49","UT","Provo-Orem-Lehi, UT",671185,1 
"39380","08","CO","Pueblo, CO",168162,1 
"39420","53","WA","Pullman, WA",47973,1 
"39460","12","FL","Punta Gorda, FL",186847,1 
"39500","17","IL","Quincy, IL-MO",65737,0.8676 
